,hotel_name,hotel_locality,hotel_rating,review_date,review_rating,user_location
82,Paradise Hotel Bethlehem,Bethlehem,3.0,2015,3.0, Missouri
83,Paradise Hotel Bethlehem,Bethlehem,3.0,2015,4.0, California
84,Paradise Hotel Bethlehem,Bethlehem,3.0,2015,4.0,surrey
85,Paradise Hotel Bethlehem,Bethlehem,3.0,2014,3.0, Greece
86,Paradise Hotel Bethlehem,Bethlehem,3.0,2014,4.0, United Kingdom
87,Paradise Hotel Bethlehem,Bethlehem,3.0,2014,3.0,Ireland
88,Paradise Hotel Bethlehem,Bethlehem,3.0,2014,4.0,Slovakia
89,Paradise Hotel Bethlehem,Bethlehem,3.0,2014,4.0, Kentucky
90,Paradise Hotel Bethlehem,Bethlehem,3.0,2013,4.0, California
91,Paradise Hotel Bethlehem,Bethlehem,3.0,2013,3.0, United Kingdom
92,Paradise Hotel Bethlehem,Bethlehem,3.0,2013,2.0, UK
93,Paradise Hotel Bethlehem,Bethlehem,3.0,2013,2.0, Massachusetts
94,Paradise Hotel Bethlehem,Bethlehem,3.0,2013,4.0, Sri Lanka
95,Paradise Hotel Bethlehem,Bethlehem,3.0,2012,3.0, United Kingdom
96,Paradise Hotel Bethlehem,Bethlehem,3.0,2012,5.0,India
97,Paradise Hotel Bethlehem,Bethlehem,3.0,2012,5.0, Missouri
98,Paradise Hotel Bethlehem,Bethlehem,3.0,2011,2.0,London
99,Paradise Hotel Bethlehem,Bethlehem,3.0,2011,4.0, China
100,Paradise Hotel Bethlehem,Bethlehem,3.0,2011,5.0, England
101,Paradise Hotel Bethlehem,Bethlehem,3.0,2011,1.0, Italy
102,Paradise Hotel Bethlehem,Bethlehem,3.0,2010,1.0,Gold Coast
103,Paradise Hotel Bethlehem,Bethlehem,3.0,2010,1.0, Russia
104,Shepherd Plaza Hotel,Bethlehem,5.0,2017,3.0,Lagos
105,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, Österreich
106,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, Poland
107,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, United Kingdom
108,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, United Kingdom
109,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, Mali
110,Shepherd Plaza Hotel,Bethlehem,5.0,2017,5.0, France
111,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Poland
112,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, United Kingdom
113,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Israel
114,Shepherd Plaza Hotel,Bethlehem,5.0,2016,2.0, Israel
115,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Japan
116,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Israel
117,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Pennsylvania
118,Shepherd Plaza Hotel,Bethlehem,5.0,2016,4.0, Singapore
119,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Israel
120,Shepherd Plaza Hotel,Bethlehem,5.0,2016,4.0,Singapore
121,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Romania
122,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Romania
123,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Mali
124,Shepherd Plaza Hotel,Bethlehem,5.0,2016,5.0, Poland
