,Form,Topic Category,Rank,Type,Polarity
17128,supermarket,concept,7,Top>Location>Facility>Market,P
17129,dog,concept,8,Top>LivingThing>Animal>Vertebrate>Mammal,P
17131,bakery,concept,10,Top>Location>Facility,P
17133,food,concept,12,Top>Product>Food,P
17134,running,concept,13,Top>OtherEntity>Doctrine>Sports,P
17136,caldron,concept,15,Top>Product>Utensil>Container,NEU
17142,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
17143,brake,concept,2,Top>Product>Machine>Instrument,N
17147,city,concept,6,Top>Location>GeoPoliticalEntity>City,P+
17149,staff,concept,8,Top>Organization,P
17150,room,concept,9,Top>Location>Facility,P+
17151,room,concept,10,Top>Location>Facility,P+
17154,hotel,concept,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,NEU
17155,star,concept,4,Top>OtherEntity>Vocation,NEU
17157,food,concept,6,Top>Product>Food,P
17158,breakfast,concept,7,Top>Event,P
17159,friendly,concept,8,Top,P
17160,breakfast,concept,9,Top>Product>Food,P
17162,staff,concept,11,Top>Organization,P
17163,room,concept,12,Top>Location>Facility,N
17164,star,concept,13,Top>Location>AstralBody>Star,NEU
17167,juice,concept,16,Top>Product>Food>Beverage,P
17168,tasting,concept,17,Top,NEU
17169,fruit,concept,18,Top>Product>Food>FruitOrVegetable,NEU
17171,coffee,concept,20,Top>Product>Food>Beverage,P
17172,room,concept,21,Top>Location>Facility,N
17177,appear,concept,1,Top,P
17181,fruit juice,concept,5,Top,N+
17182,feature,concept,6,Top>OtherEntity,N+
17187,buffet,concept,11,Top,N
17188,report,concept,12,Top>Product>CulturalProduct>Broadcast,N+
17189,breakfast,concept,13,Top>Event,N+
17190,breakfast,concept,14,Top>Product>Food,N+
17193,staff,concept,17,Top>Organization,P
17194,friendly,concept,18,Top,P
17195,beverage,concept,19,Top>Product>Food>Beverage,P
17196,service,concept,20,Top>Product>ProfessionalService,P
17197,room,concept,21,Top>Location>Facility,P
17201,distance,concept,25,Top>Unit>PhysicalExtentUnit,P
17202,room,concept,26,Top>Location>Facility,P
17204,Nichola,entity,2,Top,P
17205,Nicholas,entity,3,Top>Person>FirstName,P
17207,drug,concept,2,Top>Product>Substance>Drug,P
17210,doctor,concept,5,Top>OtherEntity>Vocation,N
17211,location,concept,6,Top>Location>Address,P+
17212,fever,concept,7,Top>OtherEntity>Disease,N
17213,supermarket,concept,8,Top>Location>Facility>Market,P+
17214,pharmacy,concept,9,Top>Location>Facility,P
17215,compass,concept,10,Top>Product,P+
17216,ride,concept,11,Top>Location>Facility,P
17217,location,concept,12,Top>Location,P+
17218,bakery,concept,13,Top>Location>Facility,P+
17220,doctor,concept,15,Top>OtherEntity>Title,N
17222,staff,concept,17,Top>Organization,N+
17223,friendly,concept,18,Top,NEU
