,Form,Topic Category,Rank,Type,Polarity
2460,Angel Hotel,entity,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2461,buffet,concept,1,Top,P
2462,food,concept,2,Top>Product>Food,P
2463,breakfast,concept,3,Top>Event,P
2464,breakfast,concept,4,Top>Product>Food,P
2467,dinner,concept,7,Top>Product>Food,P
2470,dinner,concept,10,Top>Event,P
2475,friendly,concept,4,Top,P
2477,staff,concept,6,Top>Organization,P
2478,friendly,concept,7,Top,P
2485,Spartan,concept,1,Top>Person,P
2486,Spartan,concept,2,Top>Person,P
2489,dog,concept,5,Top>LivingThing>Animal>Vertebrate>Mammal,P
2494,friendly,concept,10,Top,P
2500,people,concept,1,Top>Person,P
2501,compass,concept,2,Top>Product,P
2502,friendly,concept,3,Top,P
2504,tavern,concept,5,Top>Location>Facility,P
2507,breakfast,concept,2,Top>Event,P
2508,breakfast,concept,3,Top>Product>Food,P
2509,staff,concept,4,Top>Organization,P
2510,dinner,concept,5,Top>Product>Food,P
2511,dinner,concept,6,Top>Event,P
2512,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2521,friendly,concept,10,Top,P
2526,room,concept,15,Top>Location>Facility,P
2528,room,concept,17,Top>Location>Facility,P
2531,food,concept,3,Top>Product>Food,P
2533,hotel room,concept,5,Top,P
2540,room,concept,7,Top>Location>Facility,P
2544,room,concept,11,Top>Location>Facility,P
2546,Johnny,entity,1,Top>Person>FirstName,P
2547,Sandra,entity,2,Top>Person,P
2549,Beir Jala,entity,4,Top,P
2553,Angel Hotel,entity,8,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2560,friend,concept,4,Top>Person,P
2567,place,concept,11,Top>Location,P
2569,friendly,concept,13,Top,P
2570,service,concept,14,Top>Product>ProfessionalService,P
2582,salad,concept,1,Top>Product>Food>CookedPlate,P
2585,vegetable,concept,4,Top>Product>Food>FruitOrVegetable,P
2586,fish,concept,5,Top>LivingThing>Animal>Vertebrate>Fish,P
2590,bathroom,concept,9,Top>Location>Facility,P
2592,plant,concept,11,Top>LivingThing>Flora,P
2595,building,concept,14,Top>Location>Facility,P
2599,meat,concept,18,Top>Product>Food>Meat,P
2600,property,concept,19,Top,P
2609,staff,concept,6,Top>Organization,P
2611,balcony,concept,8,Top>Location,P
2614,Wi-Fi,concept,11,Top>OtherEntity>MethodSystem,P
2619,elevator,concept,1,Top>Location>Facility,P
2626,temperature,concept,8,Top>Unit>TemperatureUnit,P
2628,buffet,concept,10,Top,P
2632,breakfast,concept,14,Top>Event,P
2633,breakfast,concept,15,Top>Product>Food,P
2636,dinner,concept,18,Top>Product>Food,P
2641,Wi-Fi,concept,23,Top>OtherEntity>MethodSystem,P
2642,dinner,concept,24,Top>Event,P
2651,staff,concept,3,Top>Organization,P
2655,Angel Hotel,entity,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2656,Bethlehem,entity,3,Top>Location>GeoPoliticalEntity,P
2662,group,concept,6,Top>Organization,P
2663,friend,concept,7,Top>Person,P
2665,welcome,concept,9,Top>OtherEntity,P
2669,reception,concept,13,Top,P
2675,hall,concept,19,Top>Location>Facility,P
2676,Wi-Fi,concept,20,Top>OtherEntity>MethodSystem,P
2685,friendly,concept,5,Top,P
2689,room,concept,9,Top>Location>Facility,P
2691,room,concept,11,Top>Location>Facility,P
2695,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
2697,compass,concept,4,Top>Product,P
2702,room,concept,9,Top>Location>Facility,P
2703,tavern,concept,10,Top>Location>Facility,P
